seq,ts_ns,payload,occ_bytes,current,cost_uds_us,cost_shm_us,queue_wait_shm_us,switch_cost_us,setup_cost_us,health_penalty_us,latency_penalty_us,score_uds_us,score_shm_us,selected,reason
1450,23382691500000,512,86866,UDS,3.77,300.53,300.47,20.00,0.00,0.00,0.00,3.77,320.53,UDS,COST_STABLE
1451,23382691503000,512,82522,UDS,3.77,310.97,310.92,20.00,0.00,0.00,0.00,3.77,330.97,UDS,COST_STABLE
1452,23382691506000,512,78396,UDS,3.77,318.14,318.09,20.00,0.00,0.00,0.00,3.77,338.14,UDS,COST_STABLE
1453,23382691509000,512,74476,UDS,3.77,322.04,321.99,20.00,0.00,0.00,0.00,3.77,342.04,UDS,COST_STABLE
1454,23382691512000,512,70752,UDS,3.77,322.86,322.81,20.00,0.00,0.00,0.00,3.77,342.86,UDS,COST_STABLE
1455,23382691515000,512,67215,UDS,3.77,320.93,320.88,20.00,0.00,0.00,0.00,3.77,340.93,UDS,COST_STABLE
1456,23382691518000,512,63854,UDS,3.77,316.61,316.56,20.00,0.00,0.00,0.00,3.77,336.61,UDS,COST_STABLE
1457,23382691522000,512,60661,UDS,3.77,324.49,324.44,20.00,0.00,0.00,0.00,3.77,344.49,UDS,COST_STABLE
1458,23382691524000,512,57628,UDS,3.77,287.08,287.03,20.00,0.00,0.00,0.00,3.77,307.08,UDS,COST_STABLE
1459,23382691527000,512,54747,UDS,3.77,281.16,281.11,20.00,0.00,0.00,0.00,3.77,301.16,UDS,COST_STABLE
1460,23382691530000,512,52009,UDS,3.77,273.87,273.82,20.00,0.00,0.00,0.00,3.77,293.87,UDS,COST_STABLE
1461,23382691533000,512,49409,UDS,3.77,265.57,265.52,20.00,0.00,0.00,0.00,3.77,285.57,UDS,COST_STABLE
1462,23382691537000,512,46938,UDS,3.77,269.09,269.04,20.00,0.00,0.00,0.00,3.77,289.09,UDS,COST_STABLE
1463,23382691540000,512,44592,UDS,3.77,256.76,256.71,20.00,0.00,0.00,0.00,3.77,276.76,UDS,COST_STABLE
1464,23382691542000,512,42362,UDS,3.77,222.82,222.76,20.00,0.00,0.00,0.00,3.77,242.82,UDS,COST_STABLE
1465,23382691545000,512,40244,UDS,3.77,216.11,216.06,20.00,0.00,0.00,0.00,3.77,236.11,UDS,COST_STABLE
1466,23382691548000,512,38232,UDS,3.77,208.80,208.75,20.00,0.00,0.00,0.00,3.77,228.80,UDS,COST_STABLE
1467,23382691550000,512,36320,UDS,3.77,183.75,183.70,20.00,0.00,0.00,0.00,3.77,203.75,UDS,COST_STABLE
1468,23382691554000,512,34504,UDS,3.77,187.81,187.75,20.00,0.00,0.00,0.00,3.77,207.81,UDS,COST_STABLE
1469,23382691556000,512,32779,UDS,3.77,165.42,165.37,20.00,0.00,0.00,0.00,3.77,185.42,UDS,COST_STABLE
1470,23382691559000,512,31140,UDS,3.77,161.64,161.59,20.00,0.00,0.00,0.00,3.77,181.64,UDS,COST_STABLE
1471,23382691562000,512,29583,UDS,3.77,157.16,157.11,20.00,0.00,0.00,0.00,3.77,177.16,UDS,COST_STABLE
1472,23382691564000,512,28104,UDS,3.77,139.29,139.24,20.00,0.00,0.00,0.00,3.77,159.29,UDS,COST_STABLE
1473,23382691567000,512,26698,UDS,3.77,136.54,136.49,20.00,0.00,0.00,0.00,3.77,156.54,UDS,COST_STABLE
1474,23382691570000,512,25363,UDS,3.77,133.11,133.06,20.00,0.00,0.00,0.00,3.77,153.11,UDS,COST_STABLE
1475,23382691572000,512,24095,UDS,3.77,118.34,118.29,20.00,0.00,0.00,0.00,3.77,138.34,UDS,COST_STABLE
1476,23382691575000,512,22890,UDS,3.77,116.19,116.14,20.00,0.00,0.00,0.00,3.77,136.19,UDS,COST_STABLE
1477,23382691578000,512,21746,UDS,3.77,113.43,113.38,20.00,0.00,0.00,0.00,3.77,133.43,UDS,COST_STABLE
1478,23382691581000,512,20659,UDS,3.77,110.19,110.14,20.00,0.00,0.00,0.00,3.77,130.19,UDS,COST_STABLE
1479,23382691584000,512,19626,UDS,3.77,106.60,106.55,20.00,0.00,0.00,0.00,3.77,126.60,UDS,COST_STABLE
1480,23382691586000,512,18644,UDS,3.77,93.95,93.90,20.00,0.00,0.00,0.00,3.77,113.95,UDS,COST_STABLE
1481,23382691589000,512,17712,UDS,3.77,91.83,91.78,20.00,0.00,0.00,0.00,3.77,111.83,UDS,COST_STABLE
1482,23382691592000,512,16826,UDS,3.77,89.31,89.26,20.00,0.00,0.00,0.00,3.77,109.31,UDS,COST_STABLE
1483,23382691595000,512,15985,UDS,3.77,86.48,86.43,20.00,0.00,0.00,0.00,3.77,106.48,UDS,COST_STABLE
1484,23382691597000,512,15186,UDS,3.77,76.30,76.25,20.00,0.00,0.00,0.00,3.77,96.30,UDS,COST_STABLE
1485,23382691600000,512,14427,UDS,3.77,74.63,74.57,20.00,0.00,0.00,0.00,3.77,94.63,UDS,COST_STABLE
1486,23382691603000,512,13705,UDS,3.77,72.60,72.55,20.00,0.00,0.00,0.00,3.77,92.60,UDS,COST_STABLE
1487,23382691606000,512,13020,UDS,3.77,70.33,70.28,20.00,0.00,0.00,0.00,3.77,90.33,UDS,COST_STABLE
1488,23382691608000,512,12369,UDS,3.77,62.08,62.03,20.00,0.00,0.00,0.00,3.77,82.08,UDS,COST_STABLE
1489,23382691611000,512,11750,UDS,3.77,60.73,60.67,20.00,0.00,0.00,0.00,3.77,80.73,UDS,COST_STABLE
1490,23382691613000,512,11163,UDS,3.77,54.21,54.16,20.00,0.00,0.00,0.00,3.77,74.21,UDS,COST_STABLE
1491,23382691617000,512,10605,UDS,3.77,55.72,55.67,20.00,0.00,0.00,0.00,3.77,75.72,UDS,COST_STABLE
1492,23382691620000,512,10074,UDS,3.77,54.06,54.01,20.00,0.00,0.00,0.00,3.77,74.06,UDS,COST_STABLE
1493,23382691623000,512,9571,UDS,3.77,52.25,52.20,20.00,0.00,0.00,0.00,3.77,72.25,UDS,COST_STABLE
1494,23382691627000,512,9092,UDS,3.77,52.82,52.77,20.00,0.00,0.00,0.00,3.77,72.82,UDS,COST_STABLE
