seq,payload_bytes,ewma_bytes,route,switched
455,16384,16383.9,SHM,0
456,16384,16384.0,SHM,0
457,16384,16384.0,SHM,0
458,16384,16384.0,SHM,0
459,16384,16384.0,SHM,0
460,16384,16384.0,SHM,0
461,16384,16384.0,SHM,0
462,16384,16384.0,SHM,0
463,16384,16384.0,SHM,0
464,16384,16384.0,SHM,0
465,16384,16384.0,SHM,0
466,16384,16384.0,SHM,0
467,16384,16384.0,SHM,0
468,16384,16384.0,SHM,0
469,16384,16384.0,SHM,0
470,16384,16384.0,SHM,0
471,16384,16384.0,SHM,0
472,16384,16384.0,SHM,0
473,16384,16384.0,SHM,0
474,16384,16384.0,SHM,0
475,16384,16384.0,SHM,0
476,16384,16384.0,SHM,0
477,16384,16384.0,SHM,0
478,16384,16384.0,SHM,0
479,16384,16384.0,SHM,0
480,16384,16384.0,SHM,0
481,16384,16384.0,SHM,0
482,16384,16384.0,SHM,0
483,16384,16384.0,SHM,0
484,16384,16384.0,SHM,0
485,16384,16384.0,SHM,0
486,16384,16384.0,SHM,0
487,16384,16384.0,SHM,0
488,16384,16384.0,SHM,0
489,16384,16384.0,SHM,0
490,16384,16384.0,SHM,0
491,16384,16384.0,SHM,0
492,16384,16384.0,SHM,0
493,16384,16384.0,SHM,0
494,16384,16384.0,SHM,0
495,16384,16384.0,SHM,0
496,16384,16384.0,SHM,0
497,16384,16384.0,SHM,0
498,16384,16384.0,SHM,0
499,16384,16384.0,SHM,0
500,16384,16384.0,SHM,0
501,16384,16384.0,SHM,0
502,16384,16384.0,SHM,0
503,16384,16384.0,SHM,0
504,16384,16384.0,SHM,0
505,16384,16384.0,SHM,0
506,16384,16384.0,SHM,0
507,16384,16384.0,SHM,0
508,16384,16384.0,SHM,0
509,16384,16384.0,SHM,0
510,16384,16384.0,SHM,0
511,16384,16384.0,SHM,0
512,16384,16384.0,SHM,0
513,16384,16384.0,SHM,0
514,16384,16384.0,SHM,0
515,16384,16384.0,SHM,0
516,16384,16384.0,SHM,0
517,16384,16384.0,SHM,0
518,16384,16384.0,SHM,0
519,16384,16384.0,SHM,0
520,16384,16384.0,SHM,0
521,16384,16384.0,SHM,0
522,16384,16384.0,SHM,0
523,16384,16384.0,SHM,0
524,16384,16384.0,SHM,0
525,16384,16384.0,SHM,0
526,16384,16384.0,SHM,0
527,16384,16384.0,SHM,0
528,16384,16384.0,SHM,0
529,16384,16384.0,SHM,0
530,16384,16384.0,SHM,0
531,16384,16384.0,SHM,0
532,16384,16384.0,SHM,0
533,16384,16384.0,SHM,0
534,16384,16384.0,SHM,0
535,16384,16384.0,SHM,0
536,16384,16384.0,SHM,0
537,16384,16384.0,SHM,0
538,16384,16384.0,SHM,0
539,16384,16384.0,SHM,0
540,16384,16384.0,SHM,0
541,16384,16384.0,SHM,0
542,16384,16384.0,SHM,0
543,16384,16384.0,SHM,0
544,16384,16384.0,SHM,0
545,16384,16384.0,SHM,0
546,16384,16384.0,SHM,0
547,16384,16384.0,SHM,0
548,16384,16384.0,SHM,0
549,16384,16384.0,SHM,0
550,16384,16384.0,SHM,0
551,16384,16384.0,SHM,0
552,16384,16384.0,SHM,0
553,16384,16384.0,SHM,0
